






#Titles - 32715 results
#Generated on February 2017 for 
#"Search: "


"row","revision-date","short-name","version-id","entry-id","format","deleted","revision-id","user-id","provider-id","concept-id","native-id","concept-type","entry-title"
1,"2015-11-16T18:35:12Z","gpmlidargcpex","1","gpmlidargcpex_1","application/echo10+xml","false","1.0","ECHO_SYS","GHRC","C1213882997-GHRC","GPM GROUND VALIDATION AEROSOL AND WATER VAPOR LIDAR QUICKLOOKS GCPEX V1","collection","GPM GROUND VALIDATION AEROSOL AND WATER VAPOR LIDAR QUICKLOOKS GCPEX V1"
2,"2015-12-11T15:39:42Z","griphirad1","1","griphirad1_1","application/echo10+xml","false","2.0","ECHO_SYS","GHRC","C1215093010-GHRC","GRIP HURRICANE IMAGING RADIOMETER (HIRAD) V1","collection","GRIP HURRICANE IMAGING RADIOMETER (HIRAD) V1"
3,"2016-01-22T16:05:07Z","tcspmisrep","1","tcspmisrep_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C10260-GHRC","TCSP MISSION REPORTS V1","collection","TCSP MISSION REPORTS V1"
4,"2016-01-22T16:05:07Z","cmx3misrep","1","cmx3misrep_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C10801-GHRC","CAMEX-3 MISSION REPORTS V1","collection","CAMEX-3 MISSION REPORTS V1"
5,"2016-01-22T16:05:07Z","namsenrg","1","namsenrg_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C11135-GHRC","NAMMA SENEGAL RAIN GAUGE NETWORK V1","collection","NAMMA SENEGAL RAIN GAUGE NETWORK V1"
6,"2016-01-22T16:05:07Z","tc4crlit","1","tc4crlit_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C218282-GHRC","TC4 COSTA RICA LIGHTNING V1","collection","TC4 COSTA RICA LIGHTNING V1"
7,"2016-01-22T16:05:08Z","namlargen","1","namlargen_1","application/echo10+xml","false","33.0","ECHO_SYS","GHRC","C321569-GHRC","NAMMA LANGLEY AEROSOL RESEARCH GROUP EXPERIMENT NAVIGATION DATA V1","collection","NAMMA LANGLEY AEROSOL RESEARCH GROUP EXPERIMENT NAVIGATION DATA V1"
8,"2016-01-22T16:05:08Z","gpmpagcpex","1","gpmpagcpex_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C961934-GHRC","GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) GCPEX V1","collection","GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) GCPEX V1"
9,"2016-01-22T16:05:08Z","tcspampr","2","tcspampr_2","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C1800-GHRC","TCSP AMPR BRIGHTNESS TEMPERATURE (TB) V2","collection","TCSP AMPR BRIGHTNESS TEMPERATURE (TB) V2"
10,"2016-01-22T16:05:08Z","nammms","1","nammms_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C301251-GHRC","NAMMA DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS) V1","collection","NAMMA DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS) V1"
11,"2016-01-22T16:05:08Z","tcspedop","1","tcspedop_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C1802-GHRC","TCSP ER-2 DOPPLER RADAR (EDOP) V1","collection","TCSP ER-2 DOPPLER RADAR (EDOP) V1"
12,"2016-01-22T16:05:08Z","namcvi","1","namcvi_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C11420-GHRC","NAMMA CVI CLOUD CONDENSED WATER CONTENT V1","collection","NAMMA CVI CLOUD CONDENSED WATER CONTENT V1"
13,"2016-01-22T16:05:08Z","gpmnpolifld2","2","gpmnpolifld2_2","application/echo10+xml","false","17.0","ECHO_SYS","GHRC","C2420393-GHRC","GPM GROUND VALIDATION NASA S-BAND DUAL POLARIMETRIC (NPOL) DOPPLER RADAR IFLOODS V2","collection","GPM GROUND VALIDATION NASA S-BAND DUAL POLARIMETRIC (NPOL) DOPPLER RADAR IFLOODS V2"
14,"2016-01-22T16:05:08Z","gpmkcbwgcpex","1","gpmkcbwgcpex_1","application/echo10+xml","false","17.0","ECHO_SYS","GHRC","C2420673-GHRC","GPM GROUND VALIDATION KCBW NEXRAD GCPEX V1","collection","GPM GROUND VALIDATION KCBW NEXRAD GCPEX V1"
15,"2016-01-22T16:05:09Z","rssmif14d","7","rssmif14d_7","application/echo10+xml","false","33.0","ECHO_SYS","GHRC","C514901-GHRC","RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F14 NETCDF V7","collection","RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F14 NETCDF V7"
16,"2016-01-22T16:05:09Z","rssmif15d","7","rssmif15d_7","application/echo10+xml","false","33.0","ECHO_SYS","GHRC","C514902-GHRC","RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F15 NETCDF V7","collection","RSS SSM/I OCEAN PRODUCT GRIDS DAILY FROM DMSP F15 NETCDF V7"
17,"2016-01-22T16:05:09Z","rssmif17m","7","rssmif17m_7","application/echo10+xml","false","33.0","ECHO_SYS","GHRC","C508212-GHRC","RSS SSMIS OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F17 NETCDF V7","collection","RSS SSMIS OCEAN PRODUCT GRIDS MONTHLY AVERAGE FROM DMSP F17 NETCDF V7"
18,"2016-01-22T16:05:09Z","namdrop","1","namdrop_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C301247-GHRC","NAMMA DC-8 DROPSONDE V1","collection","NAMMA DC-8 DROPSONDE V1"
19,"2016-01-22T16:05:09Z","namcaps","1","namcaps_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C406822-GHRC","NAMMA CLOUD MICROPHYSICS (CAPS-PIP) V1","collection","NAMMA CLOUD MICROPHYSICS (CAPS-PIP) V1"
20,"2016-01-22T16:05:09Z","gripapr2","1","gripapr2_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C464731-GHRC","GRIP AIRBORNE SECOND GENERATION PRECIPITATION RADAR (APR-2) V1","collection","GRIP AIRBORNE SECOND GENERATION PRECIPITATION RADAR (APR-2) V1"
21,"2016-01-22T16:05:09Z","gpmwcrlpvex","1","gpmwcrlpvex_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C977292-GHRC","GPM GROUND VALIDATION WYOMING CLOUD RADAR (WCR) LPVEX V1","collection","GPM GROUND VALIDATION WYOMING CLOUD RADAR (WCR) LPVEX V1"
22,"2016-01-22T16:05:09Z","namapr2","1","namapr2_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C301243-GHRC","NAMMA SECOND GENERATION AIRBORNE PRECIPITATION RADAR (APR-2) V1","collection","NAMMA SECOND GENERATION AIRBORNE PRECIPITATION RADAR (APR-2) V1"
23,"2016-01-22T16:05:09Z","gpmpalpvex","1","gpmpalpvex_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C483483-GHRC","GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX V1","collection","GPM GROUND VALIDATION AUTONOMOUS PARSIVEL UNIT (APU) LPVEX V1"
24,"2016-01-22T16:05:09Z","gripnavwb57","1","gripnavwb57_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C462583-GHRC","GRIP WB-57 NAVIGATION AND HOUSEKEEPING DATA V1","collection","GRIP WB-57 NAVIGATION AND HOUSEKEEPING DATA V1"
25,"2016-01-22T16:05:09Z","griphirad","0","griphirad_0","application/echo10+xml","false","33.0","ECHO_SYS","GHRC","C485043-GHRC","GRIP HURRICANE IMAGING RADIOMETER (HIRAD) V0","collection","GRIP HURRICANE IMAGING RADIOMETER (HIRAD) V0"
26,"2016-01-22T16:05:09Z","gpmkictmc3e","1","gpmkictmc3e_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C1942312-GHRC","GPM GROUND VALIDATION KICT NEXRAD MC3E V1","collection","GPM GROUND VALIDATION KICT NEXRAD MC3E V1"
27,"2016-01-22T16:05:09Z","namukatd","1","namukatd_1","application/echo10+xml","false","32.0","ECHO_SYS","GHRC","C11360-GHRC","NAMMA ATD LIGHTNING DATA V1","collection","NAMMA ATD LIGHTNING DATA V1"
